Time sec;Extension mm;Strain 1 %;Load N
0;0;-3.021269e-005;-50.23726
0.1;0;-0.0001091506;-50.44234
0.2;0;0.0002701775;-50.75659
0.3;0;0.0001707824;-50.5427
0.4;0;0.0002617006;-50.75423
0.5;0;8.243669e-005;-50.97076
0.6;0;2.613651e-005;-50.66379
0.7;0;0.0001461358;-50.78268
0.8;0;0.0003396829;-50.88975
0.9;0;-0.000110449;-50.71461
1;0;0.0001693124;-50.5225
1.1;0.00008;-0.0001562634;-50.81181
1.2;0.00012;-9.611676e-005;-50.26755
1.3;0.00016;-8.786037e-005;-50.39393
1.4;0.0002;-0.0002043072;-50.20858
1.5;0.00024;-0.0001637603;-50.45756
1.6;0.00032;0.0001556416;-50.54419
1.7;0.0004;-0.0002518364;-50.63206
1.8;0.00052;0.0001044129;-50.40103
1.9;0.0006;0.0001495412;-49.88111
2;0.00072;-0.0002098441;-49.99008
2.1;0.00084;-0.0003048782;-49.99656
2.2;0.0009600001;0.0002398468;-49.76549
2.3;0.00108;0.0001021834;-49.44321
2.4;0.00128;5.355159e-005;-49.01987
2.5;0.00144;0.000203024;-48.57751
2.6;0.00164;0.0003132233;-48.62338
2.7;0.00184;-6.524715e-005;-47.99536
2.8;0.00204;0.0002597896;-47.9455
2.9;0.00224;0.0002533952;-47.48035
3;0.00248;0.0001355764;-46.829
3.1;0.00272;0.0001334694;-46.39637
3.2;0.00296;0.0003853993;-45.73415
3.3;0.00328;0.0002568741;-45.33852
3.4;0.0036;0.0003545787;-44.06847
3.5;0.00396;0.0003425739;-43.33259
3.6;0.00432;0.0004562277;-42.27292
3.7;0.00472;0.0004302827;-41.21398
3.8;0.00512;0.0008404311;-39.70506
3.9;0.0056;0.0009532765;-38.28864
4;0.00604;0.0009669719;-36.87635
4.1;0.0066;0.001006784;-34.79149
4.2;0.00716;0.0008815171;-31.937
4.3;0.00776;0.001264814;-29.04725
4.4;0.0084;0.001349877;-25.65489
4.5;0.00912;0.001676163;-21.84366
4.6;0.009840001;0.002383713;-16.61854
4.7;0.01068;0.002285298;-10.82996
4.8;0.0116;0.003180637;-1.481993
4.9;0.0126;0.00379913;10.08527
5;0.01368;0.004491393;23.25031
5.1;0.01488;0.005836889;40.88434
5.2;0.0162;0.00746244;62.89851
5.3;0.01764;0.008519967;88.74322
5.4;0.01928;0.01059614;116.4059
5.5;0.021;0.01276039;145.7942
5.6;0.02292;0.0150256;178.0231
5.7;0.025;0.01797311;213.0141
5.8;0.02712;0.01992021;248.9939
5.9;0.0294;0.02310071;287.2695
6;0.03184;0.0259803;328.3284
6.1;0.03448;0.0288347;371.7172
6.2;0.03728;0.03201787;418.7715
6.3;0.04028;0.03533296;467.5054
6.4;0.04348;0.03887424;520.0781
6.5;0.04688;0.04227962;574.7458
6.6;0.05044;0.04615644;631.6552
6.7;0.0542;0.05041504;690.4586
6.8;0.05816;0.05482268;754.0042
6.9;0.06228;0.05921759;821.1868
7;0.06660001;0.063603;890.418
7.1;0.07108;0.06841664;962.8206
7.2;0.07568;0.0735208;1036.342
7.3;0.08036001;0.07811762;1111.224
7.4;0.0852;0.08340658;1188.668
7.5;0.0902;0.08820447;1268.596
7.6;0.09524;0.09349247;1350.177
7.7;0.10048;0.09932616;1432.967
7.8;0.10588;0.1050285;1518.959
