Time sec;Extension mm;Strain 1 %;Load N;;;;;;;;;
0;0;-0.0006060383;-37.35496;;;;;;;;;
0.1;0;-0.0001132525;-37.76134;;;;;;;;;
0.2;0;-0.0002357998;-37.99425;;;;;;;;;
0.3;0;-0.0001584789;-38.04915;;;;;;;;;
0.4;0;2.727738e-005;-37.88694;;;;;;;;;
0.5;0;-1.530298e-005;-37.91213;;;;;;;;;
0.6;0;-0.0001801855;-38.35377;;;;;;;;;
0.7;0;-5.249331e-005;-37.88655;;;;;;;;;
0.8;0;-0.0001262373;-37.76582;;;;;;;;;
0.9;0;-0.0002912178;-37.69679;;;;;;;;;
1;0;-8.33139e-005;-37.70103;;;;;;;;;
1.1;0.00004;-7.581712e-005;-37.59245;;;;;;;;;
1.2;0.00008;2.370052e-005;-37.67026;;;;;;;;;
1.3;0.00012;8.519455e-005;-37.87779;;;;;;;;;
1.4;0.00016;-0.0001200635;-37.64633;;;;;;;;;
1.5;0.00024;-0.0003145906;-37.60693;;;;;;;;;
1.6;0.00028;5.760794e-005;-37.42279;;;;;;;;;
1.7;0.0004;0.0001471297;-37.3055;;;;;;;;;
1.8;0.00048;-9.747473e-005;-37.48408;;;;;;;;;
1.9;0.0006;-0.0001865064;-37.20255;;;;;;;;;
2;0.0006800001;0.0001806453;-36.84555;;;;;;;;;
2.1;0.0008;-2.912075e-005;-36.68221;;;;;;;;;
2.2;0.00092;3.007044e-005;-36.70984;;;;;;;;;
2.3;0.0009999999;0.0002548302;-36.53191;;;;;;;;;
2.4;0.00116;0.0001994609;-36.28039;;;;;;;;;
2.5;0.00128;-3.490259e-005;-36.1357;;;;;;;;;
2.6;0.00144;0.0003798274;-36.02549;;;;;;;;;
2.7;0.0016;-7.875697e-005;-35.38508;;;;;;;;;
2.8;0.0018;6.868177e-005;-35.19509;;;;;;;;;
2.9;0.002;0.0004543062;-34.87361;;;;;;;;;
3;0.00224;7.71588e-005;-34.22466;;;;;;;;;
3.1;0.00252;0.0002550751;-33.66014;;;;;;;;;
3.2;0.0028;0.0004405865;-33.13742;;;;;;;;;
3.3;0.00312;0.0004164787;-32.36569;;;;;;;;;
3.4;0.00344;0.0004124609;-31.52925;;;;;;;;;
3.5;0.00376;0.0006303117;-30.59479;;;;;;;;;
3.6;0.00416;0.000608409;-29.65928;;;;;;;;;
3.7;0.00456;0.0007907354;-28.07732;;;;;;;;;
3.8;0.00504;0.0009392523;-26.90135;;;;;;;;;
3.9;0.00552;0.0005629867;-24.95103;;;;;;;;;
4;0.00604;0.001104184;-22.82423;;;;;;;;;
4.1;0.0066;0.001079733;-20.48953;;;;;;;;;
4.2;0.0072;0.001305914;-17.69339;;;;;;;;;
4.3;0.007840001;0.001664393;-14.11411;;;;;;;;;
4.4;0.00856;0.002061728;-9.649232;;;;;;;;;
4.5;0.00928;0.00216541;-3.709031;;;;;;;;;
4.6;0.01008;0.002900743;4.613605;;;;;;;;;
4.7;0.011;0.003199736;14.85696;;;;;;;;;
4.8;0.01204;0.003853338;27.37441;;;;;;;;;
4.9;0.01316;0.004863556;43.00131;;;;;;;;;
5;0.01436;0.006043753;57.51572;;;;;;;;;
5.1;0.01572;0.007520199;78.05251;;;;;;;;;
5.2;0.0172;0.009144819;106.0493;;;;;;;;;
5.3;0.01876;0.01039327;134.8717;;;;;;;;;
5.4;0.02048;0.01261902;165.9909;;;;;;;;;
5.5;0.0224;0.01477283;200.691;;;;;;;;;
5.6;0.02436;0.01663186;236.9561;;;;;;;;;
5.7;0.02652;0.0187086;275.2688;;;;;;;;;
5.8;0.02884;0.02136965;315.9865;;;;;;;;;
5.9;0.03136;0.02352822;360.2824;;;;;;;;;
6;0.03412;0.02604707;407.0671;;;;;;;;;
6.1;0.03704;0.02846342;457.3329;;;;;;;;;
6.2;0.04012;0.03106999;511.4244;;;;;;;;;
6.3;0.04336;0.03341612;566.5806;;;;;;;;;
6.4;0.04684;0.03664376;625.6888;;;;;;;;;
6.5;0.05052;0.03930966;688.2156;;;;;;;;;
6.6;0.0544;0.04275392;753.494;;;;;;;;;
6.7;0.05852;0.04606813;821.4662;;;;;;;;;
6.8;0.0628;0.0493871;893.0774;;;;;;;;;
6.9;0.06724;0.05296248;968.7413;;;;;;;;;
7;0.0718;0.05667364;1046.133;;;;;;;;;
7.1;0.07652;0.06063434;1125.644;;;;;;;;;
7.2;0.08128;0.06456394;1206.022;;;;;;;;;
7.3;0.08612;0.06833782;1287.718;;;;;;;;;
7.4;0.09108;0.07264059;1370.799;;;;;;;;;
7.5;0.09624;0.07670974;1455.594;;;;;;;;;
7.6;0.10148;0.08110865;1541.36;;;;;;;;;
7.7;0.10684;0.08626602;1628.385;;;;;;;;;
7.8;0.11224;0.09140071;1717.551;;;;;;;;;
7.9;0.1178;0.09645449;1808.67;;;;;;;;;
8;0.12344;0.1017479;1901.123;;;;;;;;;
8.1;0.12916;0.1069487;1994.455;;;;;;;;;
8.2;0.13496;0.1126523;2088.191;;;;;;;;;
8.3;0.14088;0.1183496;2182.391;;;;;;;;;
8.4;0.14692;0.1236662;2276.237;;;;;;;;;
8.5;0.15304;0.1297047;2372.457;;;;;;;;;
8.6;0.15924;0.1356277;2468.551;;;;;;;;;
8.7;0.16556;0.1413968;2563.939;;;;;;;;;
8.8;0.17192;0.1478195;2657.632;;;;;;;;;
8.9;0.17832;0.154268;2747.422;;;;;;;;;
9;0.1848;0.160711;2831.044;;;;;;;;;
9.1;0.19136;0.1669415;2909.84;;;;;;;;;
9.2;0.19796;0.1743417;2980.89;;;;;;;;;
9.3;0.20464;0.1821635;3043.954;;;;;;;;;
9.4;0.21128;0.1908281;3096.445;;;;;;;;;
9.5;0.21788;0.2004762;3139.298;;;;;;;;;
9.6;0.22448;0.2115206;3172.735;;;;;;;;;
9.7;0.23108;0.2240084;3200.374;;;;;;;;;
9.8;0.23764;0.2368008;3223.373;;;;;;;;;
9.9;0.24412;0.2501056;3243.302;;;;;;;;;
10;0.25048;0.263483;3261.456;;;;;;;;;
10.1;0.25676;0.2768858;3277.863;;;;;;;;;
10.2;0.26292;0.2897696;3293.297;;;;;;;;;
10.3;0.26888;0.3022174;3307.728;;;;;;;;;
10.4;0.27476;0.3143399;3321.246;;;;;;;;;
10.5;0.28052;0.3266469;3334.749;;;;;;;;;
10.6;0.28612;0.3377172;3347.272;;;;;;;;;
10.7;0.29156;0.348766;3359.598;;;;;;;;;
10.8;0.29692;0.3590102;3371.657;;;;;;;;;
10.9;0.30212;0.3688901;3383.486;;;;;;;;;
11;0.30716;0.378649;3394.776;;;;;;;;;
11.1;0.31196;0.3875564;3405.447;;;;;;;;;
11.2;0.3166;0.3963831;3415.806;;;;;;;;;
11.3;0.32104;0.404787;3426.264;;;;;;;;;
11.4;0.32524;0.4125438;3435.617;;;;;;;;;
11.5;0.32928;0.4198686;3445.504;;;;;;;;;
11.6;0.33316;0.4270912;3454.619;;;;;;;;;
11.7;0.33684;0.4340941;3463.367;;;;;;;;;
11.8;0.34028;0.4398921;3471.431;;;;;;;;;
11.9;0.34344;0.445991;3478.905;;;;;;;;;
12;0.34628;0.4512627;3485.6;;;;;;;;;
12.1;0.34888;0.4557049;3492.503;;;;;;;;;
12.2;0.35128;0.4601514;3498.956;;;;;;;;;
12.3;0.35344;0.4637837;3504.74;;;;;;;;;
12.4;0.35544;0.4671711;3510.761;;;;;;;;;
12.5;0.35724;0.4704168;3515.685;;;;;;;;;
12.6;0.35884;0.4728778;3520.694;;;;;;;;;
12.7;0.36024;0.4752036;3524.261;;;;;;;;;
12.8;0.36144;0.4772204;3527.774;;;;;;;;;
12.9;0.36244;0.4792701;3530.131;;;;;;;;;
13;0.36332;0.4803252;3532.436;;;;;;;;;
13.1;0.364;0.4816662;3534.077;;;;;;;;;
13.2;0.36452;0.4827182;3534.061;;;;;;;;;
13.3;0.36484;0.4831766;3533.531;;;;;;;;;
13.4;0.36504;0.4834275;3531.939;;;;;;;;;
13.5;0.36512;0.4835349;3529.903;;;;;;;;;
13.6;0.36512;0.4840805;3528.016;;;;;;;;;
13.7;0.36512;0.4840151;3525.443;;;;;;;;;
13.8;0.36512;0.4843034;3523.482;;;;;;;;;
13.9;0.36512;0.4845243;3521.492;;;;;;;;;
14;0.36512;0.4842499;3520.162;;;;;;;;;
14.1;0.36512;0.4845687;3518.861;;;;;;;;;
14.2;0.36512;0.484681;3517.628;;;;;;;;;
14.3;0.36504;0.4845137;3516.376;;;;;;;;;
14.4;0.36504;0.4846415;3515.143;;;;;;;;;
14.5;0.36504;0.4844105;3514.555;;;;;;;;;
14.6;0.365;0.4848009;3513.383;;;;;;;;;
14.7;0.36496;0.4849245;3512.349;;;;;;;;;
14.8;0.36488;0.4846384;3511.683;;;;;;;;;
14.9;0.36476;0.4847007;3511.288;;;;;;;;;
15;0.36464;0.4845946;3510.04;;;;;;;;;
15.1;0.36448;0.4847743;3509.929;;;;;;;;;
15.2;0.36432;0.485107;3509.15;;;;;;;;;
15.3;0.36416;0.4846477;3508.87;;;;;;;;;
15.4;0.36396;0.4847763;3508.027;;;;;;;;;
15.5;0.3638;0.4847704;3507.172;;;;;;;;;
15.6;0.36356;0.4849629;3506.387;;;;;;;;;
15.7;0.3634;0.4844842;3506.07;;;;;;;;;
15.8;0.3632;0.4845967;3505.24;;;;;;;;;
15.9;0.363;0.4846377;3504.777;;;;;;;;;
16;0.36276;0.4848136;3504.246;;;;;;;;;
16.1;0.36248;0.4847985;3503.408;;;;;;;;;
16.2;0.36224;0.4846251;3502.55;;;;;;;;;
16.3;0.36196;0.4847492;3501.593;;;;;;;;;
16.4;0.36168;0.4847826;3500.976;;;;;;;;;
16.5;0.3614;0.4844648;3500.113;;;;;;;;;
16.6;0.36112;0.4845176;3499.237;;;;;;;;;
16.7;0.36084;0.4842726;3498.004;;;;;;;;;
16.8;0.36052;0.484156;3497.224;;;;;;;;;
16.9;0.3602;0.4843583;3496.265;;;;;;;;;
17;0.35988;0.4842299;3495.056;;;;;;;;;
17.1;0.35956;0.4848378;3493.695;;;;;;;;;
17.2;0.35928;0.4842541;3492.494;;;;;;;;;
17.3;0.35896;0.4843681;3492.04;;;;;;;;;
17.4;0.35868;0.4841536;3490.655;;;;;;;;;
17.5;0.3584;0.4843298;3489.492;;;;;;;;;
17.6;0.35808;0.4839743;3487.767;;;;;;;;;
17.7;0.3578;0.4842124;3486.888;;;;;;;;;
17.8;0.35752;0.4839964;3485.551;;;;;;;;;
17.9;0.35724;0.4840104;3484.348;;;;;;;;;
18;0.35696;0.4837971;3482.723;;;;;;;;;
18.1;0.35668;0.4839358;3481.418;;;;;;;;;
18.2;0.35644;0.4835016;3480.219;;;;;;;;;
18.3;0.3562;0.4837798;3478.803;;;;;;;;;
18.4;0.35596;0.4835137;3477.378;;;;;;;;;
18.5;0.35572;0.4837431;3475.68;;;;;;;;;
18.6;0.35552;0.4836246;3474.222;;;;;;;;;
18.7;0.35536;0.4836595;3473.227;;;;;;;;;
18.8;0.3552;0.4833234;3471.612;;;;;;;;;
18.9;0.35508;0.4831676;3470.798;;;;;;;;;
19;0.35492;0.4830158;3469.886;;;;;;;;;
19.1;0.3548;0.4830026;3468.514;;;;;;;;;
19.2;0.35468;0.4831135;3467.497;;;;;;;;;
19.3;0.35456;0.4832069;3466.622;;;;;;;;;
19.4;0.35448;0.4831291;3465.601;;;;;;;;;
19.5;0.3544;0.4831821;3464.999;;;;;;;;;
19.6;0.35432;0.4833212;3463.751;;;;;;;;;
19.7;0.35428;0.4828135;3463.318;;;;;;;;;
19.8;0.3542;0.4828643;3462.479;;;;;;;;;
19.9;0.35416;0.4826751;3461.856;;;;;;;;;
20;0.35416;0.4824244;3461.298;;;;;;;;;
20.1;0.35416;0.4834911;3460.701;;;;;;;;;
20.2;0.35416;0.4828323;3460.714;;;;;;;;;
20.3;0.35416;0.4829101;3460.396;;;;;;;;;
20.4;0.35416;0.4826792;3459.81;;;;;;;;;
20.5;0.35416;0.4830448;3459.665;;;;;;;;;
20.6;0.35416;0.4828557;3459.523;;;;;;;;;
20.7;0.35416;0.4827665;3459.389;;;;;;;;;
20.8;0.35416;0.4828915;3459.028;;;;;;;;;
20.9;0.35416;0.4829537;3458.9;;;;;;;;;
21;0.35416;0.4828773;3458.68;;;;;;;;;
21.1;0.35416;0.4828331;3458.467;;;;;;;;;
21.2;0.35416;0.4826352;3458.603;;;;;;;;;
21.3;0.35416;0.4828482;3458.787;;;;;;;;;
21.4;0.35416;0.4828169;3458.445;;;;;;;;;
21.5;0.35416;0.4829224;3458.199;;;;;;;;;
21.6;0.35416;0.4830349;3457.818;;;;;;;;;
21.7;0.35416;0.4825822;3457.835;;;;;;;;;
21.8;0.35416;0.4823832;3458.105;;;;;;;;;
21.9;0.35416;0.4830693;3457.587;;;;;;;;;
22;0.35416;0.4829819;3457.758;;;;;;;;;
22.1;0.35416;0.4832633;3457.182;;;;;;;;;
22.2;0.35424;0.4828039;3457.439;;;;;;;;;
22.3;0.35424;0.4828668;3457.051;;;;;;;;;
22.4;0.35428;0.4828028;3456.752;;;;;;;;;
